,columns,importance
3,number_project,20.648038326669344
4,average_montly_hours,14.543350879145988
2,last_evaluation,13.134266839319983
5,time_spend_company,11.846161056555534
9,Emp_Identity,7.420332039941403
10,Emp_Role,6.742498891180356
11,Emp_Position,5.355097447629328
12,Emp_Title,4.97455886149342
1,Percent_Remote,4.747294109887576
8,LinkedIn_Hits,4.034714634001
6,Work_accident,0.9698621800187256
14,position_no,0.6698494554572197
13,dept_no,0.6667824371446047
35,salary_low,0.5105873349418606
34,salary_high,0.4326245597949079
36,salary_medium,0.26989367185460134
33,sales_technical,0.25286587469814964
0,Will_Relocate,0.23735293828850826
31,sales_sales,0.2178721475678878
32,sales_support,0.19822300630463596
23,GEO_US,0.17419805207587366
21,GEO_Turkey,0.16182414117225527
27,sales_hr,0.15708995410847518
16,GEO_China,0.1518746142070863
17,GEO_Colombia,0.14930261366212222
22,GEO_UK,0.1453182671707999
19,GEO_Japan,0.14525316898565963
24,sales_IT,0.13176261102071526
18,GEO_France,0.12709188123179116
20,GEO_Korea,0.12652976561539966
26,sales_accounting,0.12412861605893856
15,GEO_Australia,0.121101695533614
25,sales_RandD,0.11791174025739545
30,sales_product_mng,0.08225407420941755
29,sales_marketing,0.076529617905181
28,sales_management,0.0735078128729582
7,promotion_last_5years,0.062094682017299827
